[Epoch 1] lr=1.00e-03  val_recon=0.141376  val_cls=5.138825
[Epoch 2] lr=1.00e-03  val_recon=0.113084  val_cls=5.274768
[Epoch 3] lr=1.00e-03  val_recon=0.127858  val_cls=5.358188
[Epoch 4] lr=1.00e-03  val_recon=0.095214  val_cls=4.979680
[Epoch 5] lr=1.00e-03  val_recon=0.090062  val_cls=5.031073
[Epoch 6] lr=1.00e-03  val_recon=0.082077  val_cls=4.986051
[Epoch 7] lr=1.00e-03  val_recon=0.062770  val_cls=4.883851
[Epoch 8] lr=1.00e-03  val_recon=0.183564  val_cls=5.030757
[Epoch 9] lr=1.00e-03  val_recon=0.052286  val_cls=4.887311
[Epoch 10] lr=1.00e-03  val_recon=0.056732  val_cls=5.141587
[Epoch 11] lr=1.00e-03  val_recon=0.048666  val_cls=4.838205
[Epoch 12] lr=1.00e-03  val_recon=0.073477  val_cls=4.840700
[Epoch 13] lr=1.00e-03  val_recon=0.260923  val_cls=6.013678
[Epoch 14] lr=1.00e-03  val_recon=0.063484  val_cls=5.740617
[Epoch 15] lr=1.00e-03  val_recon=0.050229  val_cls=4.893185
[Epoch 16] lr=1.00e-03  val_recon=0.055899  val_cls=4.975229
[Epoch 17] lr=8.00e-04  val_recon=0.100185  val_cls=5.418992
[Epoch 18] lr=8.00e-04  val_recon=0.043398  val_cls=4.866479
[Epoch 19] lr=8.00e-04  val_recon=0.041670  val_cls=5.072324
[Epoch 20] lr=8.00e-04  val_recon=0.057948  val_cls=4.920247
[Epoch 21] lr=8.00e-04  val_recon=0.046287  val_cls=4.976389
[Epoch 22] lr=8.00e-04  val_recon=0.055045  val_cls=4.880512
[Epoch 23] lr=8.00e-04  val_recon=0.094966  val_cls=5.032920
[Epoch 24] lr=8.00e-04  val_recon=0.038374  val_cls=4.910972
[Epoch 25] lr=8.00e-04  val_recon=0.359005  val_cls=6.571562
[Epoch 26] lr=8.00e-04  val_recon=0.047670  val_cls=4.981595
[Epoch 27] lr=8.00e-04  val_recon=0.044292  val_cls=4.888729
[Epoch 28] lr=8.00e-04  val_recon=0.318891  val_cls=6.349396
[Epoch 29] lr=8.00e-04  val_recon=0.151935  val_cls=5.640697
[Epoch 30] lr=6.40e-04  val_recon=0.076311  val_cls=4.946342
[Epoch 31] lr=6.40e-04  val_recon=0.048542  val_cls=5.077280
[Epoch 32] lr=6.40e-04  val_recon=0.182409  val_cls=5.377905
[Epoch 33] lr=6.40e-04  val_recon=0.037638  val_cls=4.868325
[Epoch 34] lr=6.40e-04  val_recon=0.043032  val_cls=4.941738
[Epoch 35] lr=6.40e-04  val_recon=0.065137  val_cls=4.937910
