0.02042309   Val   → Total=126.00250865, Recon=0.00112327, Cls=4.61793604, Acc=0.0550
0.02052418   Val   → Total=126.00251442, Recon=0.00112883, Cls=4.61861102, Acc=0.0550
0.02053273   Val   → Total=126.00252724, Recon=0.00114162, Cls=4.61874879, Acc=0.0556
0.02054209   Val   → Total=126.00252792, Recon=0.00114214, Cls=4.61926470, Acc=0.0556
0.02056684   Val   → Total=126.00253912, Recon=0.00115380, Cls=4.61773780, Acc=0.0561
0.02063655   Val   → Total=126.00252035, Recon=0.00113501, Cls=4.61779931, Acc=0.0550
0.02069604   Val   → Total=126.00253655, Recon=0.00115070, Cls=4.61949968, Acc=0.0556
0.02070145   Val   → Total=126.00252392, Recon=0.00113858, Cls=4.61781686, Acc=0.0550
0.02070407   Val   → Total=126.00250381, Recon=0.00111802, Cls=4.61931623, Acc=0.0540
0.02077358   Val   → Total=126.00251781, Recon=0.00113216, Cls=4.61884000, Acc=0.0545
