0.01176130   Val   → Total=120.70038274, Recon=0.00070803, Cls=4.50149946, Acc=0.0602
0.01244440   Val   → Total=120.73739786, Recon=0.00070062, Cls=4.67025795, Acc=0.0563
0.01261909   Val   → Total=120.81233358, Recon=0.00077355, Cls=4.58368832, Acc=0.0613
0.01270294   Val   → Total=121.16996800, Recon=0.00073423, Cls=6.28806117, Acc=0.0578
0.01272701   Val   → Total=120.76250540, Recon=0.00074453, Cls=4.54183235, Acc=0.0585
0.01276849   Val   → Total=121.09249891, Recon=0.00074568, Cls=5.85324351, Acc=0.0584
0.01285214   Val   → Total=120.98049157, Recon=0.00072229, Cls=5.50234772, Acc=0.0562
0.01286044   Val   → Total=121.19679991, Recon=0.00076391, Cls=6.22611755, Acc=0.0594
0.01288456   Val   → Total=121.18962711, Recon=0.00075117, Cls=6.27236392, Acc=0.0583
0.01304004   Val   → Total=120.75187909, Recon=0.00071329, Cls=4.65677894, Acc=0.0547
