0.01741643   Val   → Total=120.76735255, Recon=0.00072104, Cls=4.67191550, Acc=0.0414
0.01776070   Val   → Total=120.83938700, Recon=0.00076371, Cls=4.72413346, Acc=0.0430
0.01785669   Val   → Total=120.85039603, Recon=0.00078748, Cls=4.65289958, Acc=0.0441
0.01787494   Val   → Total=120.86412150, Recon=0.00079901, Cls=4.64994631, Acc=0.0447
0.01799587   Val   → Total=120.84620053, Recon=0.00078462, Cls=4.65090364, Acc=0.0436
0.01806907   Val   → Total=120.83573055, Recon=0.00077697, Cls=4.64866953, Acc=0.0430
0.01816651   Val   → Total=120.84105463, Recon=0.00078116, Cls=4.64839582, Acc=0.0430
0.01816791   Val   → Total=120.84251849, Recon=0.00078122, Cls=4.65337029, Acc=0.0430
0.01817129   Val   → Total=120.82941535, Recon=0.00077228, Cls=4.64774313, Acc=0.0425
0.01818400   Val   → Total=120.83043461, Recon=0.00077282, Cls=4.64889323, Acc=0.0425
