
=== {'alpha': 1.1, 'attn_drop_path': 0.05, 'clf_dropout': 0.1} ===
Epoch 01 | recon 0.008049 | acc 0.030688 | score 0.262276
Epoch 02 | recon 0.005289 | acc 0.028571 | score 0.185125
Epoch 03 | recon 0.003910 | acc 0.031746 | score 0.123158
Epoch 04 | recon 0.003746 | acc 0.038624 | score 0.096991
Epoch 05 | recon 0.003346 | acc 0.048148 | score 0.069499
Epoch 06 | recon 0.003141 | acc 0.051323 | score 0.061210
Epoch 07 | recon 0.002722 | acc 0.049735 | score 0.054720
Epoch 08 | recon 0.002650 | acc 0.053968 | score 0.049112
Epoch 09 | recon 0.002732 | acc 0.053439 | score 0.051130
Epoch 10 | recon 0.002542 | acc 0.051323 | score 0.049533
Epoch 11 | recon 0.002444 | acc 0.051852 | score 0.047141
Epoch 12 | recon 0.002011 | acc 0.057672 | score 0.034864
Epoch 13 | recon 0.002155 | acc 0.056085 | score 0.038423
Epoch 14 | recon 0.002093 | acc 0.059259 | score 0.035323
Epoch 15 | recon 0.001892 | acc 0.059788 | score 0.031649
Epoch 16 | recon 0.001811 | acc 0.056085 | score 0.032299
Epoch 17 | recon 0.001789 | acc 0.059259 | score 0.030186
Epoch 18 | recon 0.002337 | acc 0.069841 | score 0.033459
Epoch 19 | recon 0.001873 | acc 0.058730 | score 0.031888
Epoch 20 | recon 0.001771 | acc 0.061376 | score 0.028848
Epoch 21 | recon 0.001653 | acc 0.065079 | score 0.025399
Epoch 22 | recon 0.001692 | acc 0.059788 | score 0.028301
Epoch 23 | recon 0.001659 | acc 0.066138 | score 0.025089
Epoch 24 | recon 0.001616 | acc 0.067725 | score 0.023867
Epoch 25 | recon 0.001621 | acc 0.061376 | score 0.026418
Epoch 26 | recon 0.001515 | acc 0.059788 | score 0.025336
Epoch 27 | recon 0.001625 | acc 0.069312 | score 0.023449
Epoch 28 | recon 0.001503 | acc 0.066667 | score 0.022542
Epoch 29 | recon 0.001547 | acc 0.070899 | score 0.021823
Epoch 30 | recon 0.001418 | acc 0.067725 | score 0.020942
Epoch 31 | recon 0.001829 | acc 0.065079 | score 0.028104
Epoch 32 | recon 0.001406 | acc 0.073545 | score 0.019112
Epoch 33 | recon 0.001368 | acc 0.071429 | score 0.019147
Epoch 34 | recon 0.001356 | acc 0.065608 | score 0.020670
Epoch 35 | recon 0.001318 | acc 0.069312 | score 0.019013
Epoch 36 | recon 0.001311 | acc 0.065608 | score 0.019983
Epoch 37 | recon 0.001445 | acc 0.059788 | score 0.024173
Epoch 38 | recon 0.001281 | acc 0.071429 | score 0.017930
Epoch 39 | recon 0.001242 | acc 0.078836 | score 0.015758
Epoch 40 | recon 0.001233 | acc 0.074074 | score 0.016644
Epoch 41 | recon 0.001189 | acc 0.075661 | score 0.015716
Epoch 42 | recon 0.001202 | acc 0.072487 | score 0.016583
Epoch 43 | recon 0.001178 | acc 0.077249 | score 0.015252
Epoch 44 | recon 0.001185 | acc 0.077778 | score 0.015233
Epoch 45 | recon 0.001154 | acc 0.067196 | score 0.017168
Epoch 46 | recon 0.001151 | acc 0.071958 | score 0.015992
Epoch 47 | recon 0.001172 | acc 0.058730 | score 0.019954
Epoch 48 | recon 0.001096 | acc 0.028042 | score 0.039080
Epoch 49 | recon 0.001092 | acc 0.076720 | score 0.014239
Epoch 50 | recon 0.001152 | acc 0.065608 | score 0.017561
→ best score = 0.014239  (epoch 49)

=== {'alpha': 1.1, 'attn_drop_path': 0.05, 'clf_dropout': 0.2} ===
Epoch 01 | recon 0.008086 | acc 0.030159 | score 0.268122
Epoch 02 | recon 0.005948 | acc 0.037037 | score 0.160603
Epoch 03 | recon 0.003905 | acc 0.040741 | score 0.095856
Epoch 04 | recon 0.003530 | acc 0.040212 | score 0.087789
Epoch 05 | recon 0.003393 | acc 0.040212 | score 0.084377
Epoch 06 | recon 0.003135 | acc 0.042857 | score 0.073141
Epoch 07 | recon 0.002591 | acc 0.046561 | score 0.055650
Epoch 08 | recon 0.002445 | acc 0.042328 | score 0.057772
Epoch 09 | recon 0.002299 | acc 0.050794 | score 0.045255
Epoch 10 | recon 0.002162 | acc 0.052910 | score 0.040866
Epoch 11 | recon 0.002165 | acc 0.050265 | score 0.043068
Epoch 12 | recon 0.002589 | acc 0.051323 | score 0.050454
Epoch 13 | recon 0.001966 | acc 0.052910 | score 0.037164
Epoch 14 | recon 0.001882 | acc 0.056085 | score 0.033550
Epoch 15 | recon 0.001845 | acc 0.061376 | score 0.030065
Epoch 16 | recon 0.001836 | acc 0.057672 | score 0.031839
Epoch 17 | recon 0.001748 | acc 0.056085 | score 0.031169
Epoch 18 | recon 0.001829 | acc 0.060317 | score 0.030330
Epoch 19 | recon 0.001801 | acc 0.061905 | score 0.029086
Epoch 20 | recon 0.001679 | acc 0.059788 | score 0.028090
Epoch 21 | recon 0.002066 | acc 0.057672 | score 0.035826
Epoch 22 | recon 0.001599 | acc 0.062434 | score 0.025617
Epoch 23 | recon 0.001643 | acc 0.065079 | score 0.025239
Epoch 24 | recon 0.001560 | acc 0.071958 | score 0.021686
Epoch 25 | recon 0.001571 | acc 0.065079 | score 0.024147
Epoch 26 | recon 0.001483 | acc 0.043386 | score 0.034188
Epoch 27 | recon 0.001499 | acc 0.066667 | score 0.022486
Epoch 28 | recon 0.001455 | acc 0.068254 | score 0.021311
Epoch 29 | recon 0.001485 | acc 0.071958 | score 0.020635
Epoch 30 | recon 0.001483 | acc 0.069312 | score 0.021394
Epoch 31 | recon 0.001353 | acc 0.059259 | score 0.022837
Epoch 32 | recon 0.001332 | acc 0.051852 | score 0.025685
Epoch 33 | recon 0.001306 | acc 0.074074 | score 0.017633
