0.00743132   Val   → Total=120.88676224, Recon=0.00054100, Cls=6.40254647, Acc=0.0728
0.00767591   Val   → Total=120.96925907, Recon=0.00052887, Cls=6.93977655, Acc=0.0689
0.00792422   Val   → Total=120.56562001, Recon=0.00058243, Cls=4.71987171, Acc=0.0735
0.00797383   Val   → Total=120.78281202, Recon=0.00054541, Cls=5.87075157, Acc=0.0684
0.00802973   Val   → Total=121.07141949, Recon=0.00051310, Cls=7.68464727, Acc=0.0639
0.00804301   Val   → Total=120.61654380, Recon=0.00058714, Cls=4.87743375, Acc=0.0730
0.00817514   Val   → Total=120.71575162, Recon=0.00060496, Cls=5.14820436, Acc=0.0740
0.00861509   Val   → Total=121.24366020, Recon=0.00050226, Cls=8.91848329, Acc=0.0583
0.00871864   Val   → Total=120.93659598, Recon=0.00052399, Cls=6.81508980, Acc=0.0601
0.00874142   Val   → Total=121.33802398, Recon=0.00050438, Cls=9.56110217, Acc=0.0577
0.00875008   Val   → Total=121.04244541, Recon=0.00051538, Cls=7.48861459, Acc=0.0589
0.00881908   Val   → Total=121.36056261, Recon=0.00049916, Cls=9.80756728, Acc=0.0566
0.00884588   Val   → Total=121.35915105, Recon=0.00050510, Cls=9.70673211, Acc=0.0571
0.00887054   Val   → Total=121.50606190, Recon=0.00049675, Cls=11.01038297, Acc=0.0560
0.00889109   Val   → Total=120.90129178, Recon=0.00058859, Cls=6.06647126, Acc=0.0662
0.00897482   Val   → Total=121.37557192, Recon=0.00050259, Cls=9.86765493, Acc=0.0560
0.00901854   Val   → Total=121.28960190, Recon=0.00050594, Cls=9.18989614, Acc=0.0561
0.00904754   Val   → Total=121.49835005, Recon=0.00049671, Cls=10.94598338, Acc=0.0549
0.00904954   Val   → Total=121.51721776, Recon=0.00049682, Cls=11.10410646, Acc=0.0549
0.00905310   Val   → Total=120.73412250, Recon=0.00058483, Cls=5.35846945, Acc=0.0646
