0.00598639   Val   → Total=120.37254658, Recon=0.00045736, Cls=4.90138330, Acc=0.0764
0.00601071   Val   → Total=120.44969107, Recon=0.00044900, Cls=5.27790057, Acc=0.0747
0.00605896   Val   → Total=120.45673815, Recon=0.00044291, Cls=5.36265917, Acc=0.0731
0.00611821   Val   → Total=120.43841769, Recon=0.00045030, Cls=5.21938219, Acc=0.0736
0.00617552   Val   → Total=120.34632098, Recon=0.00047181, Cls=4.68865579, Acc=0.0764
0.00624182   Val   → Total=120.51586949, Recon=0.00043880, Cls=5.65502071, Acc=0.0703
0.00631793   Val   → Total=120.54734583, Recon=0.00043341, Cls=5.85003764, Acc=0.0686
0.00633280   Val   → Total=120.52759129, Recon=0.00043443, Cls=5.75060155, Acc=0.0686
0.00635627   Val   → Total=120.32375011, Recon=0.00050723, Cls=4.35670684, Acc=0.0798
0.00636931   Val   → Total=120.31292057, Recon=0.00047324, Cls=4.55887105, Acc=0.0743
0.00638765   Val   → Total=120.54307130, Recon=0.00043436, Cls=5.82064069, Acc=0.0680
0.00656461   Val   → Total=120.51872816, Recon=0.00043589, Cls=5.69692653, Acc=0.0664
0.00656837   Val   → Total=120.52623828, Recon=0.00043614, Cls=5.72629919, Acc=0.0664
0.00657184   Val   → Total=120.54186691, Recon=0.00043637, Cls=5.79398317, Acc=0.0664
0.00660584   Val   → Total=120.30286605, Recon=0.00051988, Cls=4.20615218, Acc=0.0787
0.00660882   Val   → Total=120.37336388, Recon=0.00047187, Cls=4.78711185, Acc=0.0714
0.00661322   Val   → Total=120.54642445, Recon=0.00043515, Cls=5.82790464, Acc=0.0658
0.00665023   Val   → Total=120.55607179, Recon=0.00043426, Cls=5.87997637, Acc=0.0653
0.00665693   Val   → Total=120.36060991, Recon=0.00052390, Cls=4.37206415, Acc=0.0787
0.00671870   Val   → Total=120.52787333, Recon=0.00043470, Cls=5.74872058, Acc=0.0647
