0.00352662   Val   → Total=119.55229365, Recon=0.00036959, Cls=4.30340244, Acc=0.1048
0.00354592   Val   → Total=119.52591629, Recon=0.00039147, Cls=3.95434252, Acc=0.1104
0.00356120   Val   → Total=119.59809999, Recon=0.00036716, Cls=4.53476305, Acc=0.1031
0.00357878   Val   → Total=119.60434446, Recon=0.00037112, Cls=4.51430184, Acc=0.1037
0.00359773   Val   → Total=119.59088186, Recon=0.00036517, Cls=4.52755241, Acc=0.1015
0.00359835   Val   → Total=119.55523529, Recon=0.00037135, Cls=4.29579902, Acc=0.1032
0.00361883   Val   → Total=119.58996684, Recon=0.00036514, Cls=4.52322238, Acc=0.1009
0.00362022   Val   → Total=119.59117568, Recon=0.00036528, Cls=4.52727035, Acc=0.1009
0.00362052   Val   → Total=119.59150168, Recon=0.00036531, Cls=4.52838984, Acc=0.1009
0.00362448   Val   → Total=119.58037424, Recon=0.00040413, Cls=4.04431327, Acc=0.1115
0.00363679   Val   → Total=119.59225871, Recon=0.00036477, Cls=4.53848340, Acc=0.1003
0.00364058   Val   → Total=119.58737904, Recon=0.00036515, Cls=4.51116314, Acc=0.1003
0.00364536   Val   → Total=119.59145829, Recon=0.00036563, Cls=4.52432489, Acc=0.1003
0.00364566   Val   → Total=119.58765364, Recon=0.00036566, Cls=4.50605888, Acc=0.1003
0.00365481   Val   → Total=119.59088097, Recon=0.00036475, Cls=4.53238312, Acc=0.0998
0.00365501   Val   → Total=119.58908844, Recon=0.00036477, Cls=4.52384713, Acc=0.0998
0.00365591   Val   → Total=119.59030994, Recon=0.00036486, Cls=4.52853200, Acc=0.0998
0.00365641   Val   → Total=119.59107294, Recon=0.00036491, Cls=4.53132242, Acc=0.0998
0.00365641   Val   → Total=119.59294538, Recon=0.00036491, Cls=4.53969673, Acc=0.0998
0.00365741   Val   → Total=119.59291830, Recon=0.00036501, Cls=4.53849767, Acc=0.0998
0.00365832   Val   → Total=119.59166209, Recon=0.00036510, Cls=4.53176606, Acc=0.0998
0.00365982   Val   → Total=119.59279140, Recon=0.00036525, Cls=4.53510501, Acc=0.0998
0.00366002   Val   → Total=119.59398588, Recon=0.00036527, Cls=4.54013983, Acc=0.0998
0.00366222   Val   → Total=119.59235598, Recon=0.00036549, Cls=4.52976494, Acc=0.0998
0.00366402   Val   → Total=119.63644778, Recon=0.00036970, Cls=4.67912868, Acc=0.1009
0.00367450   Val   → Total=119.59088806, Recon=0.00036451, Cls=4.53539839, Acc=0.0992
0.00367510   Val   → Total=119.59497490, Recon=0.00036457, Cls=4.55314423, Acc=0.0992
0.00367651   Val   → Total=119.59143359, Recon=0.00036471, Cls=4.53528550, Acc=0.0992
0.00367742   Val   → Total=119.59116948, Recon=0.00036480, Cls=4.53318466, Acc=0.0992
0.00367913   Val   → Total=119.59050198, Recon=0.00036497, Cls=4.52809315, Acc=0.0992
0.00367974   Val   → Total=119.59269536, Recon=0.00036503, Cls=4.53690758, Acc=0.0992
0.00367994   Val   → Total=119.59112177, Recon=0.00036505, Cls=4.52995567, Acc=0.0992
0.00368054   Val   → Total=119.59262381, Recon=0.00036511, Cls=4.53597002, Acc=0.0992
0.00368105   Val   → Total=119.59176757, Recon=0.00036516, Cls=4.53134327, Acc=0.0992
0.00368216   Val   → Total=119.59168294, Recon=0.00036527, Cls=4.52951152, Acc=0.0992
0.00368216   Val   → Total=119.59269374, Recon=0.00036527, Cls=4.53416723, Acc=0.0992
0.00368246   Val   → Total=119.59177322, Recon=0.00036530, Cls=4.52950201, Acc=0.0992
0.00368276   Val   → Total=119.59197019, Recon=0.00036533, Cls=4.52999398, Acc=0.0992
0.00368569   Val   → Total=119.59365705, Recon=0.00036562, Cls=4.53410889, Acc=0.0992
0.00368599   Val   → Total=119.59194740, Recon=0.00036565, Cls=4.52595727, Acc=0.0992
0.00369281   Val   → Total=119.59090948, Recon=0.00036448, Cls=4.53582783, Acc=0.0987
0.00369362   Val   → Total=119.59138800, Recon=0.00036456, Cls=4.53703601, Acc=0.0987
0.00369362   Val   → Total=119.59367867, Recon=0.00036456, Cls=4.54748955, Acc=0.0987
0.00369372   Val   → Total=119.59054448, Recon=0.00036457, Cls=4.53270998, Acc=0.0987
0.00369382   Val   → Total=119.58985023, Recon=0.00036458, Cls=4.52984902, Acc=0.0987
0.00369463   Val   → Total=119.58807023, Recon=0.00036466, Cls=4.52059571, Acc=0.0987
0.00369463   Val   → Total=119.59146798, Recon=0.00036466, Cls=4.53622732, Acc=0.0987
0.00369504   Val   → Total=119.59071741, Recon=0.00036470, Cls=4.53193868, Acc=0.0987
0.00369514   Val   → Total=119.58916512, Recon=0.00036471, Cls=4.52510862, Acc=0.0987
0.00369534   Val   → Total=119.58614747, Recon=0.00036473, Cls=4.51095495, Acc=0.0987
0.00369554   Val   → Total=119.59100103, Recon=0.00036475, Cls=4.53305391, Acc=0.0987
0.00369595   Val   → Total=119.59061619, Recon=0.00036479, Cls=4.53074853, Acc=0.0987
0.00369595   Val   → Total=119.59148099, Recon=0.00036479, Cls=4.53439020, Acc=0.0987
0.00369635   Val   → Total=119.59021778, Recon=0.00036483, Cls=4.52831758, Acc=0.0987
0.00369656   Val   → Total=119.59102704, Recon=0.00036485, Cls=4.53209540, Acc=0.0987
0.00369676   Val   → Total=119.59016902, Recon=0.00036487, Cls=4.52758029, Acc=0.0987
0.00369716   Val   → Total=119.59270681, Recon=0.00036491, Cls=4.53854952, Acc=0.0987
0.00369726   Val   → Total=119.58960873, Recon=0.00036492, Cls=4.52461135, Acc=0.0987
0.00369737   Val   → Total=119.58950586, Recon=0.00036493, Cls=4.52385855, Acc=0.0987
0.00369742   Val   → Total=119.53905271, Recon=0.00037307, Cls=4.20673024, Acc=0.1009
0.00369787   Val   → Total=119.59080172, Recon=0.00036498, Cls=4.52893155, Acc=0.0987
0.00369807   Val   → Total=119.59169871, Recon=0.00036500, Cls=4.53307006, Acc=0.0987
0.00369818   Val   → Total=119.58915564, Recon=0.00036501, Cls=4.52139578, Acc=0.0987
0.00369858   Val   → Total=119.59381212, Recon=0.00036505, Cls=4.54180905, Acc=0.0987
0.00369868   Val   → Total=119.59283816, Recon=0.00036506, Cls=4.53732255, Acc=0.0987
0.00369878   Val   → Total=119.59188897, Recon=0.00036507, Cls=4.53307018, Acc=0.0987
0.00369919   Val   → Total=119.59201800, Recon=0.00036511, Cls=4.53305798, Acc=0.0987
0.00369919   Val   → Total=119.59473260, Recon=0.00036511, Cls=4.54536969, Acc=0.0987
0.00369939   Val   → Total=119.59221869, Recon=0.00036513, Cls=4.53354445, Acc=0.0987
0.00369959   Val   → Total=119.58881432, Recon=0.00036515, Cls=4.51810532, Acc=0.0987
0.00369970   Val   → Total=119.58999259, Recon=0.00036516, Cls=4.52347527, Acc=0.0987
0.00369980   Val   → Total=119.59238688, Recon=0.00036517, Cls=4.53400958, Acc=0.0987
0.00370000   Val   → Total=119.59334612, Recon=0.00036519, Cls=4.53767071, Acc=0.0987
0.00370020   Val   → Total=119.59270878, Recon=0.00036521, Cls=4.53482688, Acc=0.0987
0.00370081   Val   → Total=119.59180222, Recon=0.00036527, Cls=4.53004932, Acc=0.0987
0.00370111   Val   → Total=119.59166670, Recon=0.00036530, Cls=4.52927771, Acc=0.0987
0.00370182   Val   → Total=119.59243956, Recon=0.00036537, Cls=4.53174483, Acc=0.0987
0.00370193   Val   → Total=119.59220991, Recon=0.00036538, Cls=4.53069928, Acc=0.0987
0.00370324   Val   → Total=119.59325161, Recon=0.00036551, Cls=4.53329814, Acc=0.0987
0.00370385   Val   → Total=119.58938011, Recon=0.00036557, Cls=4.51559849, Acc=0.0987
0.00370395   Val   → Total=119.59239225, Recon=0.00036558, Cls=4.52890704, Acc=0.0987
0.00370476   Val   → Total=119.59133711, Recon=0.00036566, Cls=4.52314348, Acc=0.0987
0.00371407   Val   → Total=119.58999688, Recon=0.00036435, Cls=4.53332240, Acc=0.0981
0.00371519   Val   → Total=119.59154072, Recon=0.00036446, Cls=4.53885291, Acc=0.0981
