0.00008225   Val   → Total=120.22012774, Recon=0.00039885, Cls=4.84908034, Acc=0.0804
0.00008233   Val   → Total=120.20725870, Recon=0.00039684, Cls=4.82038504, Acc=0.0821
0.00008235   Val   → Total=120.20673990, Recon=0.00039681, Cls=4.81880585, Acc=0.0837
0.00008235   Val   → Total=120.20728935, Recon=0.00039693, Cls=4.81983719, Acc=0.0832
0.00008235   Val   → Total=120.20804307, Recon=0.00039705, Cls=4.82121398, Acc=0.0826
0.00008239   Val   → Total=120.20759799, Recon=0.00039706, Cls=4.81948563, Acc=0.0832
0.00008239   Val   → Total=120.20809457, Recon=0.00039717, Cls=4.82035179, Acc=0.0826
0.00008241   Val   → Total=120.20764786, Recon=0.00039712, Cls=4.81901709, Acc=0.0804
0.00008242   Val   → Total=120.20754054, Recon=0.00039715, Cls=4.81859620, Acc=0.0799
0.00008244   Val   → Total=120.20603895, Recon=0.00039694, Cls=4.81498861, Acc=0.0788
0.00008245   Val   → Total=120.20744193, Recon=0.00039722, Cls=4.81747735, Acc=0.0826
0.00008246   Val   → Total=120.20708796, Recon=0.00039717, Cls=4.81667519, Acc=0.0815
0.00008247   Val   → Total=120.20568857, Recon=0.00039694, Cls=4.81337293, Acc=0.0799
0.00008247   Val   → Total=120.20598599, Recon=0.00039701, Cls=4.81399682, Acc=0.0804
0.00008247   Val   → Total=120.20867968, Recon=0.00039746, Cls=4.81956587, Acc=0.0826
0.00008247   Val   → Total=120.20934919, Recon=0.00039761, Cls=4.82108205, Acc=0.0788
0.00008248   Val   → Total=120.20669120, Recon=0.00039716, Cls=4.81512531, Acc=0.0804
0.00008250   Val   → Total=120.20638758, Recon=0.00039716, Cls=4.81405258, Acc=0.0832
0.00008251   Val   → Total=120.20764573, Recon=0.00039741, Cls=4.81626886, Acc=0.0832
0.00008252   Val   → Total=120.20583620, Recon=0.00039714, Cls=4.81243604, Acc=0.0837
