0.00394674   Val   → Total=119.76583471, Recon=0.00037573, Cls=5.23993594, Acc=0.0952
0.00401331   Val   → Total=119.72029600, Recon=0.00038889, Cls=4.83589023, Acc=0.0969
0.00402086   Val   → Total=119.76295265, Recon=0.00037595, Cls=5.22140137, Acc=0.0935
0.00403799   Val   → Total=119.69688174, Recon=0.00040501, Cls=4.53479039, Acc=0.1003
0.00406472   Val   → Total=119.76397835, Recon=0.00037558, Cls=5.23233608, Acc=0.0924
0.00406710   Val   → Total=119.76576233, Recon=0.00037580, Cls=5.23842074, Acc=0.0924
0.00406764   Val   → Total=119.76617158, Recon=0.00037585, Cls=5.23964596, Acc=0.0924
0.00407229   Val   → Total=119.76323090, Recon=0.00037628, Cls=5.21878894, Acc=0.0924
0.00409161   Val   → Total=119.76339855, Recon=0.00037561, Cls=5.22865852, Acc=0.0918
0.00409281   Val   → Total=119.76355680, Recon=0.00037572, Cls=5.22823331, Acc=0.0918
0.00409499   Val   → Total=119.76412319, Recon=0.00037592, Cls=5.22825384, Acc=0.0918
0.00409521   Val   → Total=119.76360254, Recon=0.00037594, Cls=5.22497088, Acc=0.0918
0.00409891   Val   → Total=119.76476685, Recon=0.00037628, Cls=5.22642304, Acc=0.0918
0.00411314   Val   → Total=119.76276957, Recon=0.00037553, Cls=5.22677679, Acc=0.0913
0.00411566   Val   → Total=119.76447996, Recon=0.00037576, Cls=5.23279374, Acc=0.0913
0.00411621   Val   → Total=119.76569230, Recon=0.00037581, Cls=5.23795296, Acc=0.0913
0.00412048   Val   → Total=119.76062632, Recon=0.00037620, Cls=5.20569312, Acc=0.0913
0.00412366   Val   → Total=119.76366043, Recon=0.00037649, Cls=5.21788454, Acc=0.0913
0.00412760   Val   → Total=119.75118891, Recon=0.00037685, Cls=5.14844319, Acc=0.0913
0.00414157   Val   → Total=119.76096474, Recon=0.00037564, Cls=5.21579364, Acc=0.0907
0.00414256   Val   → Total=119.76617381, Recon=0.00037573, Cls=5.24172837, Acc=0.0907
0.00414337   Val   → Total=119.72617976, Recon=0.00037829, Cls=5.00142965, Acc=0.0913
0.00414410   Val   → Total=119.76293885, Recon=0.00037587, Cls=5.22300981, Acc=0.0907
0.00414448   Val   → Total=119.78117787, Recon=0.00038295, Cls=5.22006489, Acc=0.0924
0.00415006   Val   → Total=119.76452246, Recon=0.00037641, Cls=5.22342129, Acc=0.0907
0.00415050   Val   → Total=119.76597977, Recon=0.00037645, Cls=5.23066339, Acc=0.0907
0.00416242   Val   → Total=119.76594585, Recon=0.00037545, Cls=5.24414215, Acc=0.0902
0.00416319   Val   → Total=119.76208143, Recon=0.00037552, Cls=5.22320096, Acc=0.0902
0.00416386   Val   → Total=119.76379620, Recon=0.00037558, Cls=5.23145027, Acc=0.0902
0.00416508   Val   → Total=119.76083008, Recon=0.00037569, Cls=5.21408265, Acc=0.0902
0.00416508   Val   → Total=119.76378012, Recon=0.00037569, Cls=5.22955284, Acc=0.0902
0.00416519   Val   → Total=119.76111015, Recon=0.00037570, Cls=5.21573849, Acc=0.0902
0.00416596   Val   → Total=119.76154782, Recon=0.00037577, Cls=5.21721058, Acc=0.0902
0.00416605   Val   → Total=119.78848524, Recon=0.00038036, Cls=5.29386250, Acc=0.0913
0.00416696   Val   → Total=119.75755119, Recon=0.00037586, Cls=5.19512456, Acc=0.0902
0.00416874   Val   → Total=119.76306022, Recon=0.00037602, Cls=5.22159710, Acc=0.0902
0.00416984   Val   → Total=119.76282336, Recon=0.00037612, Cls=5.21866547, Acc=0.0902
0.00416996   Val   → Total=119.76326049, Recon=0.00037613, Cls=5.22062740, Acc=0.0902
0.00417428   Val   → Total=119.77015845, Recon=0.00037652, Cls=5.25159238, Acc=0.0902
0.00417561   Val   → Total=119.76350695, Recon=0.00037664, Cls=5.21472705, Acc=0.0902
0.00419129   Val   → Total=119.76190217, Recon=0.00037554, Cls=5.22217712, Acc=0.0896
0.00419152   Val   → Total=119.76295033, Recon=0.00037556, Cls=5.22731768, Acc=0.0896
0.00419185   Val   → Total=119.76367213, Recon=0.00037559, Cls=5.23041271, Acc=0.0896
0.00419196   Val   → Total=119.76050094, Recon=0.00037560, Cls=5.21403201, Acc=0.0896
0.00419196   Val   → Total=119.76222207, Recon=0.00037560, Cls=5.22290815, Acc=0.0896
0.00419364   Val   → Total=119.76130419, Recon=0.00037575, Cls=5.21603928, Acc=0.0896
0.00419364   Val   → Total=119.76215331, Recon=0.00037575, Cls=5.22041947, Acc=0.0896
0.00419386   Val   → Total=119.76260150, Recon=0.00037577, Cls=5.22231620, Acc=0.0896
0.00419420   Val   → Total=119.75912463, Recon=0.00037580, Cls=5.20401271, Acc=0.0896
0.00419531   Val   → Total=119.76280877, Recon=0.00037590, Cls=5.22182776, Acc=0.0896
0.00419565   Val   → Total=119.76360591, Recon=0.00037593, Cls=5.22515535, Acc=0.0896
0.00419565   Val   → Total=119.76530905, Recon=0.00037593, Cls=5.23435129, Acc=0.0896
0.00419576   Val   → Total=119.76374985, Recon=0.00037594, Cls=5.22575095, Acc=0.0896
0.00419598   Val   → Total=119.76236521, Recon=0.00037596, Cls=5.21877588, Acc=0.0896
0.00419799   Val   → Total=119.76124430, Recon=0.00037614, Cls=5.21027069, Acc=0.0896
0.00419900   Val   → Total=119.76412846, Recon=0.00037623, Cls=5.22398294, Acc=0.0896
0.00419955   Val   → Total=119.76335214, Recon=0.00037628, Cls=5.21933136, Acc=0.0896
0.00420145   Val   → Total=119.76371829, Recon=0.00037645, Cls=5.21880910, Acc=0.0896
0.00420435   Val   → Total=119.76425161, Recon=0.00037671, Cls=5.21796093, Acc=0.0896
0.00420670   Val   → Total=119.76348902, Recon=0.00037692, Cls=5.21097600, Acc=0.0896
0.00421605   Val   → Total=119.76246853, Recon=0.00037565, Cls=5.22364922, Acc=0.0891
0.00421605   Val   → Total=119.76251135, Recon=0.00037565, Cls=5.22362998, Acc=0.0891
0.00421684   Val   → Total=119.76101284, Recon=0.00037572, Cls=5.21463722, Acc=0.0891
0.00421740   Val   → Total=119.76278505, Recon=0.00037577, Cls=5.22339719, Acc=0.0891
0.00421762   Val   → Total=119.76365245, Recon=0.00037579, Cls=5.22741070, Acc=0.0891
0.00421785   Val   → Total=119.76188393, Recon=0.00037581, Cls=5.21799765, Acc=0.0891
0.00421785   Val   → Total=119.76584358, Recon=0.00037581, Cls=5.23873234, Acc=0.0891
0.00421796   Val   → Total=119.75995315, Recon=0.00037582, Cls=5.20814918, Acc=0.0891
0.00421807   Val   → Total=119.76243407, Recon=0.00037583, Cls=5.22067788, Acc=0.0891
0.00421829   Val   → Total=119.76419163, Recon=0.00037585, Cls=5.22958593, Acc=0.0891
0.00421874   Val   → Total=119.76500931, Recon=0.00037589, Cls=5.23342263, Acc=0.0891
0.00421908   Val   → Total=119.76123613, Recon=0.00037592, Cls=5.21291850, Acc=0.0891
0.00421942   Val   → Total=119.76535044, Recon=0.00037595, Cls=5.23451026, Acc=0.0891
