0.00350531   Val   → Total=119.47388296, Recon=0.00036981, Cls=3.97319330, Acc=0.1055
0.00353768   Val   → Total=119.54612462, Recon=0.00035306, Cls=4.47641296, Acc=0.0998
0.00354800   Val   → Total=119.52067750, Recon=0.00035409, Cls=4.35054142, Acc=0.0998
0.00357712   Val   → Total=119.53428599, Recon=0.00037524, Cls=4.16145136, Acc=0.1049
0.00361686   Val   → Total=119.51095365, Recon=0.00037326, Cls=4.08583849, Acc=0.1032
0.00362753   Val   → Total=119.56514661, Recon=0.00034788, Cls=4.63172859, Acc=0.0959
0.00363253   Val   → Total=119.56471208, Recon=0.00034836, Cls=4.62333078, Acc=0.0959
0.00364859   Val   → Total=119.58558982, Recon=0.00034990, Cls=4.69969724, Acc=0.0959
0.00364879   Val   → Total=119.56616815, Recon=0.00034773, Cls=4.63820324, Acc=0.0953
0.00365131   Val   → Total=119.56926829, Recon=0.00034797, Cls=4.64977948, Acc=0.0953
0.00365477   Val   → Total=119.57046054, Recon=0.00034830, Cls=4.65082684, Acc=0.0953
0.00365572   Val   → Total=119.56803548, Recon=0.00034839, Cls=4.63801893, Acc=0.0953
0.00365855   Val   → Total=119.54159393, Recon=0.00035305, Cls=4.45678643, Acc=0.0965
0.00366846   Val   → Total=119.56579965, Recon=0.00034777, Cls=4.63606637, Acc=0.0948
0.00366888   Val   → Total=119.57086379, Recon=0.00034781, Cls=4.65900879, Acc=0.0948
0.00367068   Val   → Total=119.57638267, Recon=0.00034798, Cls=4.68297259, Acc=0.0948
0.00367141   Val   → Total=119.56711915, Recon=0.00034805, Cls=4.63835656, Acc=0.0948
0.00367152   Val   → Total=119.57190024, Recon=0.00034806, Cls=4.66084433, Acc=0.0948
0.00367184   Val   → Total=119.55854136, Recon=0.00038077, Cls=4.20046490, Acc=0.1037
0.00367236   Val   → Total=119.57193311, Recon=0.00034814, Cls=4.65981143, Acc=0.0948
