0.00146933   Val   → Total=119.47388296, Recon=0.00036981, Cls=3.97319330, Acc=0.1055
0.00149904   Val   → Total=119.49423971, Recon=0.00037604, Cls=3.98637519, Acc=0.0898
0.00151679   Val   → Total=119.50528555, Recon=0.00036330, Cls=4.17503405, Acc=0.0965
0.00151709   Val   → Total=119.50592136, Recon=0.00037785, Cls=4.01504798, Acc=0.0960
0.00152508   Val   → Total=119.51095365, Recon=0.00037326, Cls=4.08583849, Acc=0.1032
0.00153119   Val   → Total=119.51449951, Recon=0.00035005, Cls=4.37421487, Acc=0.0920
0.00153839   Val   → Total=119.51931639, Recon=0.00035981, Cls=4.27556159, Acc=0.0965
0.00154048   Val   → Total=119.52067750, Recon=0.00035409, Cls=4.35054142, Acc=0.0998
0.00154861   Val   → Total=119.52571344, Recon=0.00035039, Cls=4.41967999, Acc=0.0865
0.00155326   Val   → Total=119.52859481, Recon=0.00034998, Cls=4.43814356, Acc=0.0937
0.00155656   Val   → Total=119.53088738, Recon=0.00035021, Cls=4.44464947, Acc=0.0915
0.00156154   Val   → Total=119.53428599, Recon=0.00037524, Cls=4.16145136, Acc=0.1049
0.00156945   Val   → Total=119.53911527, Recon=0.00035294, Cls=4.44679295, Acc=0.0937
0.00157347   Val   → Total=119.54159393, Recon=0.00035305, Cls=4.45678643, Acc=0.0965
0.00158044   Val   → Total=119.54612462, Recon=0.00035306, Cls=4.47641296, Acc=0.0998
0.00158198   Val   → Total=119.54686241, Recon=0.00034870, Cls=4.53680363, Acc=0.0931
0.00158363   Val   → Total=119.54792627, Recon=0.00034833, Cls=4.54636237, Acc=0.0931
0.00159232   Val   → Total=119.55436888, Recon=0.00039864, Cls=3.99438550, Acc=0.0970
0.00159682   Val   → Total=119.55616461, Recon=0.00034886, Cls=4.57723754, Acc=0.0898
0.00159941   Val   → Total=119.55854136, Recon=0.00038077, Cls=4.20046490, Acc=0.1037
0.00160155   Val   → Total=119.56015984, Recon=0.00039988, Cls=4.00508216, Acc=0.1043
0.00160417   Val   → Total=119.56077054, Recon=0.00034827, Cls=4.60611668, Acc=0.0903
0.00160468   Val   → Total=119.56110544, Recon=0.00034854, Cls=4.60400044, Acc=0.0920
0.00160499   Val   → Total=119.56162402, Recon=0.00036464, Cls=4.40157223, Acc=0.0898
0.00160855   Val   → Total=119.56347688, Recon=0.00034766, Cls=4.62678105, Acc=0.0937
