0.00438111   Val   → Total=119.63128357, Recon=0.00041752, Cls=4.12054637, Acc=0.0953
0.00439380   Val   → Total=119.63561722, Recon=0.00040379, Cls=4.27943850, Acc=0.0919
0.00445098   Val   → Total=119.66943623, Recon=0.00043130, Cls=4.14328117, Acc=0.0969
0.00445216   Val   → Total=119.63540955, Recon=0.00040203, Cls=4.29721699, Acc=0.0903
0.00446305   Val   → Total=119.65913900, Recon=0.00043247, Cls=4.08985229, Acc=0.0969
0.00446434   Val   → Total=119.64038642, Recon=0.00040313, Cls=4.30664967, Acc=0.0903
0.00447726   Val   → Total=119.63938761, Recon=0.00040161, Cls=4.31908123, Acc=0.0897
0.00448372   Val   → Total=119.64275773, Recon=0.00040219, Cls=4.32728116, Acc=0.0897
0.00449274   Val   → Total=119.66764199, Recon=0.00043310, Cls=4.11833064, Acc=0.0964
0.00450303   Val   → Total=119.63402383, Recon=0.00040167, Cls=4.29528762, Acc=0.0892
0.00450699   Val   → Total=119.67566182, Recon=0.00043177, Cls=4.16471049, Acc=0.0958
0.00452355   Val   → Total=119.67211545, Recon=0.00042838, Cls=4.18194294, Acc=0.0947
0.00452780   Val   → Total=119.63402672, Recon=0.00040388, Cls=4.27175984, Acc=0.0892
0.00454424   Val   → Total=119.63016710, Recon=0.00040262, Cls=4.26827512, Acc=0.0886
0.00454424   Val   → Total=119.63584474, Recon=0.00040262, Cls=4.29278828, Acc=0.0886
0.00455727   Val   → Total=119.63848483, Recon=0.00040104, Cls=4.32101720, Acc=0.0880
0.00455773   Val   → Total=119.63864384, Recon=0.00040108, Cls=4.32154476, Acc=0.0880
0.00457114   Val   → Total=119.64133256, Recon=0.00040226, Cls=4.32036255, Acc=0.0880
0.00457557   Val   → Total=119.63885422, Recon=0.00040265, Cls=4.30512031, Acc=0.0880
0.00457777   Val   → Total=119.62121350, Recon=0.00040559, Cls=4.19947222, Acc=0.0886
0.00458971   Val   → Total=119.64003127, Recon=0.00040160, Cls=4.32199116, Acc=0.0875
0.00460223   Val   → Total=119.67105440, Recon=0.00043307, Cls=4.13250159, Acc=0.0941
0.00462129   Val   → Total=119.63982903, Recon=0.00040159, Cls=4.32105077, Acc=0.0869
0.00462209   Val   → Total=119.63237661, Recon=0.00040166, Cls=4.28809951, Acc=0.0869
0.00462624   Val   → Total=119.63668267, Recon=0.00040202, Cls=4.30296229, Acc=0.0869
0.00462886   Val   → Total=119.64928284, Recon=0.00040734, Cls=4.30046940, Acc=0.0880
0.00462934   Val   → Total=119.63670165, Recon=0.00040229, Cls=4.30008933, Acc=0.0869
0.00464167   Val   → Total=119.64058145, Recon=0.00040104, Cls=4.33023151, Acc=0.0864
0.00464618   Val   → Total=119.63808928, Recon=0.00040143, Cls=4.31505979, Acc=0.0864
0.00468007   Val   → Total=119.63040504, Recon=0.00040155, Cls=4.28095821, Acc=0.0858
0.00469344   Val   → Total=119.65508146, Recon=0.00040786, Cls=4.31974850, Acc=0.0869
0.00470481   Val   → Total=119.64010909, Recon=0.00040132, Cls=4.32516818, Acc=0.0853
0.00470598   Val   → Total=119.64081901, Recon=0.00040142, Cls=4.32685820, Acc=0.0853
0.00471008   Val   → Total=119.64100736, Recon=0.00040177, Cls=4.32407654, Acc=0.0853
0.00471314   Val   → Total=119.72179356, Recon=0.00046990, Cls=4.00585035, Acc=0.0997
0.00471645   Val   → Total=119.66109953, Recon=0.00044146, Cls=4.01367677, Acc=0.0936
0.00475325   Val   → Total=119.63196939, Recon=0.00040260, Cls=4.27663072, Acc=0.0847
0.00476119   Val   → Total=119.65715125, Recon=0.00044041, Cls=4.00726368, Acc=0.0925
0.00476235   Val   → Total=119.61941217, Recon=0.00040861, Cls=4.16068268, Acc=0.0858
0.00476638   Val   → Total=119.67502203, Recon=0.00044089, Cls=4.07465598, Acc=0.0925
0.00479487   Val   → Total=119.67236121, Recon=0.00041140, Cls=4.35670691, Acc=0.0858
0.00482220   Val   → Total=119.68599456, Recon=0.00044316, Cls=4.09881020, Acc=0.0919
0.00482649   Val   → Total=119.63999132, Recon=0.00041170, Cls=4.21474126, Acc=0.0853
0.00484566   Val   → Total=119.63771976, Recon=0.00040219, Cls=4.30539551, Acc=0.0830
0.00485144   Val   → Total=119.62815784, Recon=0.00040558, Cls=4.22833918, Acc=0.0836
0.00485208   Val   → Total=119.63772863, Recon=0.00040806, Cls=4.24282195, Acc=0.0841
0.00491334   Val   → Total=119.65006549, Recon=0.00041616, Cls=4.21230720, Acc=0.0847
0.00493390   Val   → Total=119.73088582, Recon=0.00046428, Cls=4.09155134, Acc=0.0941
0.00495568   Val   → Total=119.65136722, Recon=0.00040587, Cls=4.32483042, Acc=0.0819
0.00497643   Val   → Total=119.64707654, Recon=0.00040757, Cls=4.28806909, Acc=0.0819
0.00510862   Val   → Total=119.72405443, Recon=0.00042095, Cls=4.48277591, Acc=0.0824
0.00516221   Val   → Total=119.67859879, Recon=0.00043982, Cls=4.09991409, Acc=0.0852
0.00518160   Val   → Total=119.75348307, Recon=0.00048448, Cls=4.00931805, Acc=0.0935
0.00523015   Val   → Total=119.77752403, Recon=0.00045973, Cls=4.32871389, Acc=0.0879
0.00527934   Val   → Total=119.80731490, Recon=0.00050840, Cls=4.03289275, Acc=0.0963
0.00539659   Val   → Total=119.77141886, Recon=0.00047436, Cls=4.16987801, Acc=0.0879
0.00566591   Val   → Total=119.83070087, Recon=0.00052353, Cls=4.00843450, Acc=0.0924
0.00566928   Val   → Total=119.77368685, Recon=0.00049833, Cls=3.97809113, Acc=0.0879
0.00568404   Val   → Total=119.74286896, Recon=0.00048087, Cls=3.99806178, Acc=0.0846
0.00570408   Val   → Total=119.82175773, Recon=0.00051736, Cls=4.02068982, Acc=0.0907
0.00580368   Val   → Total=119.84335852, Recon=0.00052001, Cls=4.08644505, Acc=0.0896
0.00587943   Val   → Total=119.81075490, Recon=0.00049740, Cls=4.13620275, Acc=0.0846
0.00590198   Val   → Total=119.83200308, Recon=0.00050580, Cls=4.15425997, Acc=0.0857
0.00591635   Val   → Total=119.79946346, Recon=0.00047390, Cls=4.29223865, Acc=0.0801
0.00591768   Val   → Total=119.67903248, Recon=0.00041838, Cls=4.31260106, Acc=0.0707
0.00607684   Val   → Total=119.82176011, Recon=0.00050377, Cls=4.12951196, Acc=0.0829
0.00607694   Val   → Total=119.91299305, Recon=0.00056394, Cls=4.03978820, Acc=0.0928
0.00609882   Val   → Total=119.82265727, Recon=0.00051901, Cls=4.01116481, Acc=0.0851
0.00620989   Val   → Total=119.95630426, Recon=0.00058994, Cls=4.03200226, Acc=0.0950
0.00623381   Val   → Total=119.83967524, Recon=0.00052738, Cls=4.01550097, Acc=0.0846
0.00632932   Val   → Total=119.87037935, Recon=0.00054179, Cls=4.03056204, Acc=0.0856
0.00638555   Val   → Total=119.96989972, Recon=0.00059641, Cls=4.04223304, Acc=0.0934
