0.00438111   Val   → Total=119.63128357, Recon=0.00041752, Cls=4.12054637, Acc=0.0953
0.00439380   Val   → Total=119.63561722, Recon=0.00040379, Cls=4.27943850, Acc=0.0919
0.00445098   Val   → Total=119.66943623, Recon=0.00043130, Cls=4.14328117, Acc=0.0969
0.00445216   Val   → Total=119.63540955, Recon=0.00040203, Cls=4.29721699, Acc=0.0903
0.00446305   Val   → Total=119.65913900, Recon=0.00043247, Cls=4.08985229, Acc=0.0969
0.00446434   Val   → Total=119.64038642, Recon=0.00040313, Cls=4.30664967, Acc=0.0903
0.00447726   Val   → Total=119.63938761, Recon=0.00040161, Cls=4.31908123, Acc=0.0897
0.00449274   Val   → Total=119.66764199, Recon=0.00043310, Cls=4.11833064, Acc=0.0964
0.00450303   Val   → Total=119.63402383, Recon=0.00040167, Cls=4.29528762, Acc=0.0892
0.00450699   Val   → Total=119.67566182, Recon=0.00043177, Cls=4.16471049, Acc=0.0958
0.00452355   Val   → Total=119.67211545, Recon=0.00042838, Cls=4.18194294, Acc=0.0947
0.00452780   Val   → Total=119.63402672, Recon=0.00040388, Cls=4.27175984, Acc=0.0892
0.00454424   Val   → Total=119.63016710, Recon=0.00040262, Cls=4.26827512, Acc=0.0886
0.00454424   Val   → Total=119.63584474, Recon=0.00040262, Cls=4.29278828, Acc=0.0886
0.00457114   Val   → Total=119.64133256, Recon=0.00040226, Cls=4.32036255, Acc=0.0880
0.00457557   Val   → Total=119.63885422, Recon=0.00040265, Cls=4.30512031, Acc=0.0880
0.00457777   Val   → Total=119.62121350, Recon=0.00040559, Cls=4.19947222, Acc=0.0886
0.00458971   Val   → Total=119.64003127, Recon=0.00040160, Cls=4.32199116, Acc=0.0875
0.00460223   Val   → Total=119.67105440, Recon=0.00043307, Cls=4.13250159, Acc=0.0941
0.00462129   Val   → Total=119.63982903, Recon=0.00040159, Cls=4.32105077, Acc=0.0869
