0.00008911   Val   → Total=120.01647619, Recon=0.00047468, Cls=5.32661772, Acc=0.0400
0.00009279   Val   → Total=119.64010909, Recon=0.00040132, Cls=4.32516818, Acc=0.0853
0.00009281   Val   → Total=119.63848483, Recon=0.00040104, Cls=4.32101720, Acc=0.0880
0.00009291   Val   → Total=119.64100736, Recon=0.00040177, Cls=4.32407654, Acc=0.0853
0.00009292   Val   → Total=119.64003127, Recon=0.00040160, Cls=4.32199116, Acc=0.0875
0.00009294   Val   → Total=119.63982903, Recon=0.00040159, Cls=4.32105077, Acc=0.0869
0.00009299   Val   → Total=119.63938761, Recon=0.00040161, Cls=4.31908123, Acc=0.0897
0.00009311   Val   → Total=119.64133256, Recon=0.00040226, Cls=4.32036255, Acc=0.0880
0.00009342   Val   → Total=119.63771976, Recon=0.00040219, Cls=4.30539551, Acc=0.0830
0.00009343   Val   → Total=119.63668267, Recon=0.00040202, Cls=4.30296229, Acc=0.0869
0.00009351   Val   → Total=119.63402383, Recon=0.00040167, Cls=4.29528762, Acc=0.0892
0.00009353   Val   → Total=119.63885422, Recon=0.00040265, Cls=4.30512031, Acc=0.0880
0.00009355   Val   → Total=119.63670165, Recon=0.00040229, Cls=4.30008933, Acc=0.0869
0.00009356   Val   → Total=119.63540955, Recon=0.00040203, Cls=4.29721699, Acc=0.0903
0.00009361   Val   → Total=119.64038642, Recon=0.00040313, Cls=4.30664967, Acc=0.0903
0.00009367   Val   → Total=119.63237661, Recon=0.00040166, Cls=4.28809951, Acc=0.0869
0.00009379   Val   → Total=119.63584474, Recon=0.00040262, Cls=4.29278828, Acc=0.0886
0.00009380   Val   → Total=119.63040504, Recon=0.00040155, Cls=4.28095821, Acc=0.0858
0.00009385   Val   → Total=119.65136722, Recon=0.00040587, Cls=4.32483042, Acc=0.0819
0.00009390   Val   → Total=119.72405443, Recon=0.00042095, Cls=4.48277591, Acc=0.0824
